"Response ID","Date submitted","Last page","Start language","Seed","{if(is_empty(eqZufall),rand(1,2),eqZufall)}","Imagine the following situation: Two individuals are given access to an investment opportunity.   They can choose between:    	not investing and receiving 30 CHF, or  	investing, which gives a 50% chance of receiving 60 CHF and a 50% chance of receiving 0 CHF (expected value: 30 CHF).   Your task is to decide how to distribute the total amount of money received by the two individuals. You will make this decision for three different situations. Before each decision, you will be informed about whether each person chose to invest, and how much money they received.  ","In this case, Person A chose not to invest and Person B chose to invest and ended up with 60 CHF. How would you distribute the total of 90 CHF between them? [A (non-investor)]","In this case, Person A chose not to invest and Person B chose to invest and ended up with 60 CHF. How would you distribute the total of 90 CHF between them? [B (investor)]","In this case, Person A chose not to invest and Person B chose to invest and ended up with 0 CHF. How will you distribute the total amount received by the individuals (30 CHF)? [A (non-investor)]","In this case, Person A chose not to invest and Person B chose to invest and ended up with 0 CHF. How will you distribute the total amount received by the individuals (30 CHF)? [B (investor)]","In this case, both chose to invest. Person A ended up with 0 CHF and Person B ended up with 60 CHF. How would you distribute the total of 60 CHF between them? [Person A]","In this case, both chose to invest. Person A ended up with 0 CHF and Person B ended up with 60 CHF. How would you distribute the total of 60 CHF between them? [Person B]","Imagine the following situation: Two individuals each receive 30 CHF. Additionally, Person A is given access to an investment opportunity, while Person B is not.   Investing comes with a 50% chance of receiving 60 CHF and a 50% chance of receiving 0 CHF (expected value = 30 CHF). Person A makes a choice between this risky option and a safe 30 CHF.  Your task is to decide how to distribute the total amount of money between the two individuals. You will make this decision for three different situations. Before each decision, you will be informed about whether Person A chose to invest, and how much money each individual received. ","In this case, Person A, who had the option to invest, chose to invest and ended up with 60 CHF. Person B, with no option to invest, received the initial 30 CHF. How would you distribute the total of 90 CHF between them?  [Person A (investor)]","In this case, Person A, who had the option to invest, chose to invest and ended up with 60 CHF. Person B, with no option to invest, received the initial 30 CHF. How would you distribute the total of 90 CHF between them?  [Person B (non-investor)]","In this case, Person A, who had the option to invest, chose to invest and ended up with 0 CHF. Person B, with no option to invest, received the initial 30 CHF. How would you distribute the total of 30 CHF between them? [Person A (investor)]","In this case, Person A, who had the option to invest, chose to invest and ended up with 0 CHF. Person B, with no option to invest, received the initial 30 CHF. How would you distribute the total of 30 CHF between them? [Person B (non-investor)]","Now imagine that Person B also received access to the investment opportunity, and both chose to invest. Person A ended up with 0 CHF and Person B ended up with 60 CHF. How would you distribute the total of 60 CHF between them? [Person A]","Now imagine that Person B also received access to the investment opportunity, and both chose to invest. Person A ended up with 0 CHF and Person B ended up with 60 CHF. How would you distribute the total of 60 CHF between them? [Person B]","Below is a seven-point scale on which the political views that people might hold are arranged from very left-wing (1) to very right-wing (7). Where would you place yourself on this scale?","Below is a ten-point scale on which people’s willingness to take financial risks is arranged from not at all willing (1) to very willing (10). This could, for example, involve choosing between a safe option with a guaranteed outcome and a risky option with higher but uncertain returns. Where would you place yourself on this scale?","In your opinion, what mainly determines success in life on a scale from 1 (success mainly depends on effort) to 10 (success mainly depends on luck)?","What is the highest level of education you have completed?","How old are you?","What is your gender?","What is your current gross monthly income?"
"265","1980-01-01 00:00:00","16","en","2147274686","1","","30","60","30","0","0","60",,,,,,,,"2 (left wing)","4","7","Bachelor's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
"266","1980-01-01 00:00:00","16","en","1400508162","2",,,,,,,,"","60","30","0","30","0","60","3 (slightly left wing)","10 (very willing to take financial risks)","10 (success mainly depends on luck)","Master's degree (university and university of applied sciences)","30-39","Male","CHF 6'000 – 7'999"
"267","1980-01-01 00:00:00","16","en","150860137","1","","30","60","30","0","0","60",,,,,,,,"5 (slightly right wing)","4","3","Preparatory High School (Gymnasium)","20-29","Male","Below CHF 2'000"
"268","1980-01-01 00:00:00","16","en","223477279","1","","35","55","25","5","28","32",,,,,,,,"3 (slightly left wing)","7","4","Preparatory High School (Gymnasium)","20-29","Male","Below CHF 2'000"
"269",,"5","en","545699466","2",,,,,,,,,,,,,,,,,,,,,
"270","1980-01-01 00:00:00","16","en","1391740471","2",,,,,,,,"","45","45","15","15","0","60","3 (slightly left wing)","6","4","Preparatory High School (Gymnasium)","20-29","Male","Below CHF 2'000"
"271",,"2","en","1509390989","1","",,,,,,,,,,,,,,,,,,,,
"272","1980-01-01 00:00:00","16","en","1480693596","1","","30","60","30","0","0","60",,,,,,,,"4 (moderate)","7","4","Master's degree (university and university of applied sciences)","20-29","Male","CHF 2'000 - 3'999"
"273","1980-01-01 00:00:00","16","en","77485052","1","","30","60","30","0","30","30",,,,,,,,"2 (left wing)","1 (not at all willing to take financial risks)","3","Doctoral degree / PhD","30-39","Female","CHF 4'000 – 5'999"
"274",,"8","en","924692284","2",,,,,,,,"","60","30","0","30",,,,,,,,,
"275",,"14","en","226333011","1","","30","60","30","0","0","60",,,,,,,,"4 (moderate)","7","3","Doctoral degree / PhD","60-69",,
"276","1980-01-01 00:00:00","16","en","7276798","1","","45","45","30","0","15","45",,,,,,,,"5 (slightly right wing)","7","8","Preparatory High School (Gymnasium)","20-29","Male","Below CHF 2'000"
"277",,"6","en","755327362","2",,,,,,,,"",,,,,,,,,,,,,
"278","1980-01-01 00:00:00","16","en","543717426","1","","30","60","20","10","30","30",,,,,,,,"5 (slightly right wing)","7","6","Preparatory High School (Gymnasium)","30-39","Male","CHF 2'000 - 3'999"
"279",,"7","en","1838624021","2",,,,,,,,"","60","30",,,,,,,,,,,
"280","1980-01-01 00:00:00","16","en","1732006460","1","","30","60","30","0","0","60",,,,,,,,"3 (slightly left wing)","4","8","Bachelor's degree (university and university of applied sciences)","20-29","Female","Below CHF 2'000"
"281","1980-01-01 00:00:00","16","en","1663221755","2",,,,,,,,"","60","30","0","30","20","40","2 (left wing)","4","5 (success depends equally on effort and luck)","Bachelor's degree (university and university of applied sciences)","20-29","Female","Below CHF 2'000"
"282",,"6","en","346371313","2",,,,,,,,"",,,,,,,,,,,,,
"283","1980-01-01 00:00:00","16","en","422167771","1","","60","30","30",,"30","30",,,,,,,,"4 (moderate)","4","6","Bachelor's degree (university and university of applied sciences)","20-29","Female","Below CHF 2'000"
"284","1980-01-01 00:00:00","16","en","705589456","1","","30","60","30","0","0","60",,,,,,,,"4 (moderate)","7","7","Bachelor's degree (university and university of applied sciences)","20-29","Female","Below CHF 2'000"
"285",,"1","en","1422030180","1",,,,,,,,,,,,,,,,,,,,,
"286",,"1","en","1024873104","1",,,,,,,,,,,,,,,,,,,,,
"287","1980-01-01 00:00:00","16","en","515080344","1","","30","60","30","0","0","60",,,,,,,,"3 (slightly left wing)","4","5 (success depends equally on effort and luck)","Master's degree (university and university of applied sciences)","40-49","Female","CHF 2'000 - 3'999"
"288",,"2","en","152236948","1","",,,,,,,,,,,,,,,,,,,,
"289","1980-01-01 00:00:00","16","en","1505092313","1","","30","60","30","0","30","30",,,,,,,,"2 (left wing)","3","6","Bachelor's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
"290","1980-01-01 00:00:00","16","en","1381976189","2",,,,,,,,"","60","30","0","30","0","60","4 (moderate)","5 (neutral)","5 (success depends equally on effort and luck)","Master's degree (university and university of applied sciences)","20-29","Male","Prefer not to say"
"291","1980-01-01 00:00:00","16","en","1664580081","1","","30","60","30","0","0","60",,,,,,,,"1 (very left wing)","10 (very willing to take financial risks)","1 (success mainly depends on effort)","Preparatory High School (Gymnasium)","20-29","Male","Prefer not to say"
"292",,"2","en","446042611","1","",,,,,,,,,,,,,,,,,,,,
"293","1980-01-01 00:00:00","16","en","1063404041","2",,,,,,,,"","50","40","0","30","0","60","3 (slightly left wing)","3","4","Bachelor's degree (university and university of applied sciences)","20-29","Female","CHF 2'000 - 3'999"
"294","1980-01-01 00:00:00","16","en","1161409541","1","","30","60","30","0","0","60",,,,,,,,"2 (left wing)","3","3","Bachelor's degree (university and university of applied sciences)","20-29","Female","Below CHF 2'000"
"295",,"6","en","1242897442","2",,,,,,,,"",,,,,,,,,,,,,
"296",,"11","en","2047439692","1","","30","60","30","0","30","30",,,,,,,,"3 (slightly left wing)","3",,,,,
"297","1980-01-01 00:00:00","16","en","996981223","1","","30","60","30","0","0","60",,,,,,,,"6 (right wing)","7","3","Doctoral degree / PhD","Below 20","Other","CHF 10'000 or more"
"298",,"5","en","1318360401","2",,,,,,,,,,,,,,,,,,,,,
"299","1980-01-01 00:00:00","16","en","1966498354","1","","30","60","0","30","30","30",,,,,,,,"1 (very left wing)","2","5 (success depends equally on effort and luck)","Master's degree (university and university of applied sciences)","20-29","Female","Below CHF 2'000"
"300","1980-01-01 00:00:00","16","en","1996969582","2",,,,,,,,"","45","45","15","15","30","30","2 (left wing)","6","7","Bachelor's degree (university and university of applied sciences)","20-29","Male","CHF 4'000 – 5'999"
"301","1980-01-01 00:00:00","16","en","1162534037","1","","30","60","30","0","0","60",,,,,,,,"2 (left wing)","3","5 (success depends equally on effort and luck)","Master's degree (university and university of applied sciences)","60-69","Male","CHF 6'000 – 7'999"
"302",,"1","en","92272918","1",,,,,,,,,,,,,,,,,,,,,
"303","1980-01-01 00:00:00","16","en","562197797","2",,,,,,,,"","45","45","15","15","30","30","3 (slightly left wing)","3","3","Master's degree (university and university of applied sciences)","20-29","Female","CHF 4'000 – 5'999"
"304",,"5","en","2114789868","2",,,,,,,,,,,,,,,,,,,,,
"305",,"2","en","1276339983","1","",,,,,,,,,,,,,,,,,,,,
"306","1980-01-01 00:00:00","16","en","1811011946","2",,,,,,,,"","60","30","0","30","0","60","1 (very left wing)","2","7","Preparatory High School (Gymnasium)","20-29","Female","Below CHF 2'000"
"307","1980-01-01 00:00:00","16","en","993186231","2",,,,,,,,"","60","30","0","30","0","60","6 (right wing)","6","1 (success mainly depends on effort)","Professional education (apprenticeship / Lehre)","30-39","Male","CHF 2'000 - 3'999"
"308",,"1","en","203399705","1",,,,,,,,,,,,,,,,,,,,,
"309",,"13","en","906073031","1","","30","60","30","0","30","30",,,,,,,,"5 (slightly right wing)","4","3","Other qualification",,,
"310",,"6","en","148530431","2",,,,,,,,"",,,,,,,,,,,,,
"311","1980-01-01 00:00:00","16","en","1854275670","2",,,,,,,,"","60","30","0","30","0","60","4 (moderate)","4","4","Master's degree (university and university of applied sciences)","40-49","Female","CHF 10'000 or more"
"312","1980-01-01 00:00:00","16","en","2122206909","2",,,,,,,,"","45","45","15","15","0","60","3 (slightly left wing)","6","4","Master's degree (university and university of applied sciences)","20-29","Male","CHF 8'000 – 9'999"
"313",,"5","en","857620405","2",,,,,,,,,,,,,,,,,,,,,
"314",,"11","en","2105852345","2",,,,,,,,"","55","35","5","25","0","60","2 (left wing)","10 (very willing to take financial risks)",,,,,
"315","1980-01-01 00:00:00","16","en","1149031900","2",,,,,,,,"","60","30","0","30","30","30","2 (left wing)","7","6","Bachelor's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
